               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  58,              0.1058,             0.19937,            0.026583,              0.1717,             0.58928,             0.15326,             0.09881,            0.029681,             0.10518,             0.18968,            0.026182,             0.16912,            0.008501,            0.008501,            0.008501
                  59,             0.10492,             0.20272,            0.027154,              0.1712,             0.61752,             0.11055,            0.086373,            0.023798,             0.10805,             0.19357,            0.030588,             0.17355,           0.0084516,           0.0084516,           0.0084516
                  60,             0.10617,             0.20888,            0.026653,             0.17078,             0.59703,              0.1342,            0.088636,            0.025494,             0.10547,             0.18396,            0.027143,             0.17022,           0.0084017,           0.0084017,           0.0084017
                  61,             0.10577,             0.19153,            0.026528,             0.16977,             0.61156,             0.14715,              0.1074,            0.032971,             0.10459,             0.18426,            0.026093,             0.16914,           0.0083511,           0.0083511,           0.0083511
                  62,             0.10564,             0.19654,            0.025426,             0.16857,             0.58159,             0.15656,            0.097749,            0.025327,             0.10628,              0.1973,            0.030704,               0.168,              0.0083,              0.0083,              0.0083
                  63,             0.10474,             0.21178,            0.026041,             0.16913,             0.56662,             0.15416,             0.10918,            0.031899,             0.10617,             0.27672,            0.028503,             0.16993,           0.0082483,           0.0082483,           0.0082483
                  64,             0.10563,             0.20875,            0.025437,             0.16631,             0.57266,             0.14453,              0.1206,            0.037149,             0.10566,             0.18544,            0.026755,             0.16586,           0.0081961,           0.0081961,           0.0081961
                  65,             0.10542,             0.18878,            0.026397,             0.16628,             0.63873,             0.14549,              0.1231,            0.039984,             0.10567,             0.18537,            0.025721,             0.16632,           0.0081433,           0.0081433,           0.0081433
                  66,             0.10486,             0.20134,            0.022729,             0.16575,             0.62948,             0.15006,             0.12634,            0.040437,             0.10312,             0.18078,            0.024969,              0.1639,             0.00809,             0.00809,             0.00809
                  67,             0.10444,             0.19536,            0.024795,             0.16563,             0.56367,               0.161,             0.13784,            0.041963,             0.10514,             0.18032,            0.024183,             0.16447,           0.0080362,           0.0080362,           0.0080362
                  68,             0.10485,             0.18839,            0.023179,             0.16457,              0.6518,             0.16734,             0.14527,            0.046684,             0.10268,             0.18359,            0.023333,             0.16304,           0.0079818,           0.0079818,           0.0079818
                  69,             0.10441,             0.19335,            0.023661,             0.16372,             0.70683,             0.16649,             0.15358,            0.044348,             0.10446,              0.1838,             0.02429,             0.16248,            0.007927,            0.007927,            0.007927
                  70,             0.10458,             0.20221,             0.02322,             0.16287,             0.68892,             0.16525,             0.12755,            0.040043,             0.10345,             0.18527,            0.025196,             0.16309,           0.0078717,           0.0078717,           0.0078717
                  71,             0.10329,             0.20209,            0.022727,             0.16092,             0.63961,              0.1512,             0.13024,            0.039511,              0.1027,               0.182,            0.024697,             0.16254,            0.007816,            0.007816,            0.007816
                  72,             0.10475,             0.19414,            0.022077,             0.15882,             0.63726,             0.15235,             0.13398,            0.040995,             0.10519,             0.18097,            0.028236,             0.16021,           0.0077598,           0.0077598,           0.0077598
                  73,             0.10452,             0.19844,            0.024351,             0.16107,             0.64502,             0.16801,             0.15202,            0.046763,              0.1036,             0.18538,            0.025077,             0.16066,           0.0077031,           0.0077031,           0.0077031
                  74,              0.1034,             0.22852,            0.023093,             0.16091,               0.669,             0.14981,             0.16612,            0.052835,             0.10307,             0.18678,            0.024342,             0.15975,           0.0076461,           0.0076461,           0.0076461
                  75,             0.10415,             0.18937,            0.022779,                0.16,              0.6618,             0.15547,             0.16102,            0.051732,             0.10297,             0.17929,            0.022954,              0.1597,           0.0075886,           0.0075886,           0.0075886
                  76,             0.10203,             0.19839,            0.022495,             0.15937,             0.67412,             0.15634,             0.16994,            0.054899,             0.10229,             0.17923,            0.024088,             0.15841,           0.0075307,           0.0075307,           0.0075307
                  77,              0.1034,             0.18781,            0.021252,             0.15799,             0.60172,             0.15901,             0.15349,            0.048496,             0.10385,             0.18157,            0.023279,              0.1612,           0.0074725,           0.0074725,           0.0074725
                  78,             0.10255,             0.19872,             0.02135,             0.15834,              0.5504,             0.15928,             0.14832,            0.043947,              0.1027,             0.18422,            0.021813,             0.15761,           0.0074139,           0.0074139,           0.0074139
                  79,             0.10245,             0.19779,            0.020454,             0.15814,             0.66951,             0.18053,             0.18973,            0.063564,              0.1018,             0.17869,            0.022082,             0.15605,            0.007355,            0.007355,            0.007355
                  80,             0.10371,             0.18672,            0.020944,             0.15736,             0.61283,             0.24069,              0.2032,            0.067746,             0.10178,             0.17946,            0.022134,             0.15551,           0.0072957,           0.0072957,           0.0072957
